claimId,label_pred
pomt-00006,mostly false
pomt-00018,mostly false
pomt-00025,mostly false
pomt-00027,mostly true
pomt-00030,mostly false
pomt-00031,false
pomt-00033,false
pomt-00038,mostly false
pomt-00041,mostly false
pomt-00046,mostly false
pomt-00048,mostly false
pomt-00049,false
pomt-00051,pants on fire!
pomt-00065,false
pomt-00072,pants on fire!
pomt-00073,false
pomt-00078,mostly false
pomt-00079,mostly false
pomt-00089,mostly false
pomt-00090,mostly false
pomt-00092,mostly false
pomt-00094,mostly true
pomt-00098,false
pomt-00099,pants on fire!
pomt-00108,mostly false
pomt-00110,mostly false
pomt-00112,mostly false
pomt-00115,mostly false
pomt-00119,mostly false
pomt-00128,mostly false
pomt-00129,mostly false
pomt-00140,mostly true
pomt-00142,mostly false
pomt-00152,false
pomt-00162,false
pomt-00164,mostly true
pomt-00167,false
pomt-00172,false
pomt-00174,mostly false
pomt-00177,mostly false
pomt-00179,mostly false
pomt-00181,false
pomt-00183,mostly false
pomt-00189,mostly false
pomt-00192,mostly false
pomt-00198,false
pomt-00203,false
pomt-00212,mostly true
pomt-00216,mostly false
pomt-00224,mostly false
pomt-00232,pants on fire!
pomt-00238,mostly false
pomt-00251,pants on fire!
pomt-00257,mostly false
pomt-00258,mostly true
pomt-00263,false
pomt-00265,false
pomt-00268,mostly true
pomt-00276,false
pomt-00290,mostly false
pomt-00297,pants on fire!
pomt-00311,mostly false
pomt-00322,false
pomt-00327,mostly true
pomt-00328,pants on fire!
pomt-00329,mostly false
pomt-00333,mostly false
pomt-00335,mostly false
pomt-00336,mostly false
pomt-00337,false
pomt-00348,false
pomt-00349,mostly false
pomt-00360,mostly false
pomt-00362,mostly false
pomt-00379,mostly false
pomt-00395,mostly false
pomt-00399,half-true
pomt-00405,false
pomt-00409,mostly true
pomt-00412,mostly false
pomt-00425,pants on fire!
pomt-00426,mostly true
pomt-00428,mostly false
pomt-00430,mostly true
pomt-00432,mostly false
pomt-00444,mostly false
pomt-00446,mostly true
pomt-00451,mostly false
pomt-00462,pants on fire!
pomt-00463,mostly false
pomt-00465,mostly false
pomt-00467,mostly true
pomt-00475,false
pomt-00489,mostly true
pomt-00491,mostly true
pomt-00493,mostly false
pomt-00511,pants on fire!
pomt-00513,false
